"","PNUM_F_CC111_NSA_I10","PNUM_F_CC111_NSA_I15","PNUM_F_CC111_NSA_PCH_SM","PNUM_F_CC111_SCA_I10","PNUM_F_CC111_SCA_I15","PNUM_F_CC111_SCA_PCH_PRE","PNUM_F_CC112_NSA_I10","PNUM_F_CC112_NSA_I15","PNUM_F_CC112_NSA_PCH_SM","PNUM_F_CC112_SCA_I10","PNUM_F_CC112_SCA_I15","PNUM_F_CC112_SCA_PCH_PRE","PNUM_F_CC11_X_CC113_NSA_I10","PNUM_F_CC11_X_CC113_NSA_I15","PNUM_F_CC11_X_CC113_NSA_PCH_SM","PNUM_F_CC11_X_CC113_SCA_I10","PNUM_F_CC11_X_CC113_SCA_I15","PNUM_F_CC11_X_CC113_SCA_PCH_PRE","PSQM_F_CC1_NSA_I10","PSQM_F_CC1_NSA_I15","PSQM_F_CC1_NSA_PCH_SM","PSQM_F_CC1_SCA_I10","PSQM_F_CC1_SCA_I15","PSQM_F_CC1_SCA_PCH_PRE","PSQM_F_CC11_NSA_I10","PSQM_F_CC11_NSA_I15","PSQM_F_CC11_NSA_PCH_SM","PSQM_F_CC11_SCA_I10","PSQM_F_CC11_SCA_I15","PSQM_F_CC11_SCA_PCH_PRE","PSQM_F_CC111_NSA_I10","PSQM_F_CC111_NSA_I15","PSQM_F_CC111_NSA_PCH_SM","PSQM_F_CC111_SCA_I10","PSQM_F_CC111_SCA_I15","PSQM_F_CC111_SCA_PCH_PRE","PSQM_F_CC112_NSA_I10","PSQM_F_CC112_NSA_I15","PSQM_F_CC112_NSA_PCH_SM","PSQM_F_CC112_SCA_I10","PSQM_F_CC112_SCA_I15","PSQM_F_CC112_SCA_PCH_PRE","PSQM_F_CC113_NSA_I15","PSQM_F_CC113_NSA_PCH_SM","PSQM_F_CC113_SCA_I15","PSQM_F_CC113_SCA_PCH_PRE","PSQM_F_CC11_X_CC113_NSA_I10","PSQM_F_CC11_X_CC113_NSA_I15","PSQM_F_CC11_X_CC113_NSA_PCH_SM","PSQM_F_CC11_X_CC113_SCA_I10","PSQM_F_CC11_X_CC113_SCA_I15","PSQM_F_CC11_X_CC113_SCA_PCH_PRE","PSQM_F_CC12_NSA_I10","PSQM_F_CC12_NSA_I15","PSQM_F_CC12_NSA_PCH_SM","PSQM_F_CC12_SCA_I10","PSQM_F_CC12_SCA_I15","PSQM_F_CC12_SCA_PCH_PRE","PSQM_F_CC122_NSA_I10","PSQM_F_CC122_NSA_I15","PSQM_F_CC122_NSA_PCH_SM","PSQM_F_CC122_SCA_I10","PSQM_F_CC122_SCA_I15","PSQM_F_CC122_SCA_PCH_PRE","PSQM_F_CC12_X_CC122_NSA_I10","PSQM_F_CC12_X_CC122_NSA_I15","PSQM_F_CC12_X_CC122_NSA_PCH_SM","PSQM_F_CC12_X_CC122_SCA_I10","PSQM_F_CC12_X_CC122_SCA_I15","PSQM_F_CC12_X_CC122_SCA_PCH_PRE","YEAR","MONTH"
"156","128.0 e","184.2 ","8.4 ","126.0 s","181.1 s","4.4 s","156.2 e","162.6 ","21.4 ","128.9 s","133.6 s","18.3 s","142.1 e","172.2 ","14.9 ","127.6 s","154.8 s","11.2 s","132.6 e","163.7 ","14.1 ","123.6 s","152.5 s","6.1 s","145.9 e","183.6 ","13.7 ","138.3 s","170.5 s","10.0 s","134.6 e","193.7 ","7.5 ","134.0 s","192.9 s","2.9 s","165.9 e","175.4 ","23.8 ","137.6 s","144.7 s","18.2 s","126.7 ","24.5 ","99.3 s","17.9 s","145.9 e","186.1 ","13.3 ","138.3 s","176.8 s","10.2 s","119.8 e","145.2 ","14.4 ","109.3 s","132.5 s","-0.1 s","132.9 e","143.1 ","13.2 ","121.6 s","130.4 s","-5.9 s","118.3 e","145.5 ","14.7 ","107.5 s","132.4 s","0.8 s","2006","10 "
"157","127.0 e","182.6 ","-2.1 ","120.7 s","173.4 s","0.2 s","111.0 e","116.1 ","-8.6 ","109.1 s","112.9 s","-11.3 s","118.9 e","145.6 ","-5.1 ","114.6 s","139.2 s","-5.2 s","122.4 e","151.0 ","-3.0 ","116.6 s","143.8 s","-2.6 s","129.7 e","163.0 ","-3.7 ","125.4 s","155.0 s","-5.9 s","136.3 e","196.0 ","-1.7 ","130.4 s","187.4 s","2.9 s","117.9 e","125.1 ","-7.1 ","116.9 s","122.4 s","-12.9 s","82.6 ","-12.3 ","84.2 s","-45.0 s","129.7 e","166.5 ","-3.5 ","125.4 s","160.4 s","-1.1 s","115.3 e","139.9 ","-2.2 ","109.4 s","132.6 s","0.0 s","146.3 e","157.6 ","8.5 ","128.4 s","138.6 s","-0.6 s","111.7 e","137.5 ","-3.7 ","106.8 s","131.3 s","-0.5 s","2006","09 "
"158","111.7 e","160.7 ","3.2 ","120.1 s","173.1 s","0.2 s","108.4 e","106.5 ","7.8 ","129.4 s","127.3 s","-2.8 s","110.1 e","130.5 ","5.2 ","123.9 s","146.8 s","-1.8 s","113.8 e","140.5 ","3.3 ","119.4 s","147.7 s","1.7 s","117.6 e","148.0 ","6.2 ","128.6 s","164.7 s","0.4 s","119.7 e","172.2 ","1.5 ","126.5 s","182.1 s","-2.6 s","114.0 e","116.2 ","11.6 ","137.9 s","140.6 s","1.4 s","127.8 ","73.2 ","153.0 s","40.5 s","117.6 e","148.9 ","4.6 ","128.4 s","162.2 s","-3.6 s","110.1 e","133.5 ","0.5 ","108.8 s","132.6 s","2.6 s","127.3 e","137.1 ","24.3 ","128.2 s","139.4 s","31.4 s","108.1 e","133.0 ","-2.1 ","106.7 s","132.0 s","-0.2 s","2006","08 "
"159","129.1 e","185.7 ","2.4 ","120.3 s","172.7 s","-2.6 s","143.9 e","148.0 ","17.1 ","126.5 s","131.0 s","-6.7 s","136.5 e","164.7 ","9.3 ","123.6 s","149.5 s","-4.0 s","127.2 e","157.1 ","9.0 ","117.9 s","145.3 s","-8.3 s","142.2 e","179.0 ","7.4 ","131.8 s","164.0 s","-3.4 s","137.9 e","198.5 ","3.1 ","130.0 s","187.0 s","-4.3 s","149.9 e","156.9 ","17.5 ","131.9 s","138.7 s","-6.5 s","129.6 ","-3.1 ","108.9 s","-12.5 s","142.2 e","181.1 ","7.8 ","131.8 s","168.3 s","-4.6 s","112.8 e","136.8 ","10.9 ","106.9 s","129.2 s","-8.6 s","95.2 e","102.5 ","5.0 ","99.9 s","106.1 s","-21.2 s","114.9 e","141.4 ","11.6 ","107.7 s","132.3 s","-6.8 s","2006","07 "
"160","138.3 e","199.0 ","0.5 ","123.1 s","177.4 s","-2.0 s","145.7 e","151.3 ","8.9 ","135.7 s","140.4 s","11.9 s","142.0 e","172.4 ","4.4 ","128.4 s","155.7 s","4.2 s","138.1 e","170.5 ","5.9 ","128.2 s","158.4 s","9.7 s","148.9 e","187.4 ","4.2 ","138.4 s","169.8 s","1.6 s","147.8 e","212.7 ","0.2 ","135.6 s","195.4 s","0.8 s","151.0 e","158.7 ","8.9 ","141.5 s","148.4 s","11.1 s","123.7 ","69.0 ","124.4 s","1.7 s","148.9 e","190.2 ","3.0 ","138.3 s","176.5 s","5.4 s","127.6 e","154.8 ","7.9 ","116.2 s","141.3 s","15.7 s","128.0 e","137.8 ","19.5 ","124.9 s","134.6 s","29.7 s","127.6 e","157.0 ","6.7 ","115.0 s","141.9 s","13.9 s","2006","06 "
"161","125.6 e","180.8 ","7.3 ","125.6 s","181.1 s","0.0 s","116.1 e","114.8 ","24.2 ","125.8 s","125.5 s","-12.7 s","120.9 e","144.0 ","14.2 ","125.2 s","149.4 s","-6.7 s","114.4 e","141.2 ","4.7 ","117.0 s","144.4 s","0.0 s","128.7 e","161.9 ","12.7 ","132.0 s","167.2 s","-4.5 s","134.9 e","194.1 ","7.0 ","134.6 s","193.8 s","2.8 s","117.7 e","120.5 ","23.3 ","129.3 s","133.6 s","-11.6 s","127.8 ","65.5 ","122.3 s","16.7 s","128.7 e","163.4 ","11.5 ","131.7 s","167.4 s","-1.8 s","100.6 e","121.9 ","-3.6 ","100.6 s","122.1 s","-3.8 s","91.4 e","98.4 ","-6.3 ","95.5 s","103.8 s","-11.2 s","101.7 e","125.1 ","-3.3 ","101.2 s","124.6 s","-2.7 s","2006","05 "
"162","114.9 e","165.4 ","3.2 ","125.7 s","181.1 s","3.2 s","122.5 e","124.6 ","21.8 ","141.1 s","143.7 s","2.6 s","118.7 e","142.7 ","11.5 ","133.4 s","160.2 s","3.4 s","109.5 e","135.2 ","5.8 ","116.9 s","144.4 s","-8.4 s","124.0 e","156.0 ","8.3 ","133.5 s","175.1 s","5.2 s","122.7 e","176.5 ","2.3 ","131.0 s","188.5 s","-2.2 s","126.3 e","133.5 ","21.0 ","142.9 s","151.2 s","3.0 s","97.2 ","12.6 ","104.8 s","53.0 s","124.0 e","158.6 ","8.1 ","133.3 s","170.5 s","-2.2 s","95.6 e","115.9 ","2.8 ","104.8 s","126.9 s","-10.4 s","93.2 e","100.4 ","20.2 ","108.8 s","116.9 s","-30.1 s","95.9 e","118.0 ","1.2 ","104.2 s","128.0 s","-7.4 s","2006","04 "
"163","128.9 e","185.4 ","11.0 ","121.9 s","175.4 s","0.2 s","137.4 e","148.6 ","38.4 ","129.2 s","140.1 s","2.1 s","133.2 e","164.9 ","23.2 ","124.8 s","155.0 s","1.1 s","129.2 e","159.5 ","19.8 ","127.6 s","157.6 s","4.4 s","140.8 e","177.2 ","18.4 ","134.4 s","166.4 s","-1.1 s","139.6 e","200.9 ","11.5 ","134.0 s","192.8 s","3.0 s","142.9 e","155.3 ","38.7 ","134.9 s","146.8 s","2.3 s","69.9 ","-30.1 ","68.5 s","-48.3 s","140.8 e","181.9 ","19.8 ","134.7 s","174.3 s","4.2 s","118.0 e","143.0 ","21.4 ","116.8 s","141.7 s","2.7 s","158.9 e","171.1 ","39.9 ","155.3 s","167.2 s","27.8 s","113.1 e","139.3 ","19.0 ","112.3 s","138.3 s","-0.7 s","2006","03 "
"164","116.9 e","168.2 ","4.2 ","121.6 s","175.0 s","-2.8 s","115.5 e","119.0 ","29.8 ","133.8 s","137.2 s","-1.9 s","116.2 e","140.8 ","14.8 ","127.0 s","153.3 s","-3.1 s","114.5 e","141.4 ","14.2 ","122.4 s","151.0 s","4.3 s","124.4 e","156.5 ","14.4 ","131.2 s","168.3 s","-1.3 s","125.9 e","181.2 ","5.5 ","130.1 s","187.2 s","-2.1 s","121.7 e","126.5 ","30.5 ","137.8 s","143.5 s","0.8 s","113.7 ","134.0 ","132.4 s","7.5 s","124.4 e","158.4 ","12.7 ","131.3 s","167.2 s","-1.0 s","105.0 e","127.3 ","14.0 ","113.9 s","138.0 s","10.4 s","111.5 e","120.1 ","38.2 ","121.8 s","130.8 s","20.4 s","104.3 e","128.3 ","11.5 ","113.2 s","139.3 s","9.7 s","2006","02 "
"165","121.7 e","175.1 ","7.4 ","125.2 s","180.0 s","3.4 s","113.2 e","117.1 ","15.7 ","135.8 s","139.8 s","-7.1 s","117.4 e","142.8 ","11.0 ","130.8 s","158.2 s","-3.0 s","108.9 e","134.5 ","11.9 ","117.5 s","144.8 s","-1.0 s","126.3 e","158.9 ","10.3 ","132.0 s","170.6 s","1.9 s","131.1 e","188.6 ","8.3 ","133.0 s","191.3 s","3.5 s","117.9 e","124.3 ","14.8 ","135.3 s","142.3 s","-10.4 s","92.9 ","11.5 ","123.2 s","58.4 s","126.3 e","161.8 ","10.3 ","132.2 s","168.9 s","-4.8 s","92.2 e","111.8 ","13.8 ","103.6 s","125.0 s","-0.6 s","93.4 e","100.5 ","-4.4 ","101.5 s","108.6 s","0.9 s","92.0 e","113.3 ","16.6 ","103.7 s","127.0 s","-0.9 s","2006","01 "
"166","119.3 e","171.6 ","6.2 ","121.1 s","174.1 s","-2.3 s","164.8 e","175.4 ","31.7 ","141.3 s","150.5 s","26.6 s","142.1 e","173.7 ","19.1 ","132.9 s","163.1 s","11.3 s","120.1 e","148.2 ","11.9 ","118.4 s","146.2 s","-0.1 s","141.5 e","178.1 ","13.6 ","137.6 s","167.5 s","3.3 s","126.2 e","181.7 ","6.3 ","128.7 s","184.9 s","-1.0 s","168.6 e","182.2 ","27.8 ","146.7 s","158.8 s","24.5 s","91.3 ","-10.4 ","77.8 s","-20.9 s","141.5 e","181.9 ","14.3 ","137.8 s","177.5 s","9.4 s","99.5 e","120.6 ","9.9 ","103.8 s","125.7 s","-4.8 s","104.0 e","112.0 ","-10.5 ","100.1 s","107.6 s","-14.0 s","98.9 e","121.8 ","13.2 ","104.3 s","128.2 s","-3.7 s","2005","12 "
"167","114.0 e","164.1 ","9.0 ","123.9 s","178.2 s","3.6 s","112.9 e","117.7 ","10.2 ","113.6 s","118.9 s","4.8 s","113.5 e","138.3 ","9.6 ","119.8 s","146.6 s","5.2 s","113.6 e","140.3 ","15.7 ","118.5 s","146.3 s","10.2 s","120.7 e","151.8 ","9.1 ","126.9 s","162.1 s","4.7 s","121.7 e","175.1 ","10.7 ","129.9 s","186.8 s","2.2 s","118.8 e","125.7 ","7.7 ","120.9 s","127.5 s","6.5 s","89.6 ","-10.2 ","98.3 s","25.5 s","120.7 e","154.6 ","9.7 ","126.9 s","162.3 s","2.9 s","106.8 e","129.5 ","23.8 ","108.8 s","132.0 s","14.4 s","125.8 e","135.5 ","19.2 ","115.1 s","125.1 s","7.7 s","104.6 e","128.7 ","24.5 ","108.1 s","133.1 s","15.7 s","2005","11 "
"168","118.2 e","170.0 ","4.0 ","119.7 s","172.0 s","0.1 s","128.7 e","133.9 ","2.8 ","109.2 s","113.5 s","-4.6 s","123.4 e","149.9 ","3.4 ","114.4 s","139.3 s","-1.8 s","116.3 e","143.5 ","5.9 ","107.6 s","132.8 s","-10.6 s","128.4 e","161.5 ","1.9 ","122.7 s","154.8 s","-0.8 s","125.2 e","180.2 ","3.5 ","127.0 s","182.8 s","-2.4 s","133.9 e","141.7 ","2.9 ","113.4 s","119.7 s","-6.2 s","101.8 ","-31.4 ","78.3 s","-18.7 s","128.4 e","164.2 ","3.3 ","122.8 s","157.7 s","-3.4 s","104.6 e","126.9 ","11.1 ","95.3 s","115.4 s","-15.0 s","117.3 e","126.4 ","50.1 ","108.4 s","116.2 s","-9.1 s","103.1 e","126.9 ","7.3 ","93.6 s","115.0 s","-15.8 s","2005","10 "
"169","129.7 e","186.6 ","7.7 ","119.7 s","171.9 s","2.4 s","121.3 e","127.0 ","10.5 ","114.9 s","119.0 s","0.9 s","125.5 e","153.4 ","8.9 ","116.8 s","141.8 s","1.7 s","126.1 e","155.7 ","14.0 ","120.3 s","148.5 s","3.8 s","134.5 e","169.2 ","8.7 ","127.8 s","156.1 s","0.6 s","138.6 e","199.4 ","7.9 ","130.2 s","187.3 s","4.2 s","127.1 e","134.7 ","8.8 ","121.8 s","127.6 s","1.7 s","94.2 ","35.2 ","96.3 s","9.2 s","134.5 e","172.5 ","8.2 ","127.7 s","163.3 s","5.0 s","118.0 e","143.1 ","20.3 ","112.0 s","135.7 s","3.4 s","134.8 e","145.2 ","16.3 ","118.4 s","127.9 s","14.1 s","116.1 e","142.8 ","20.8 ","111.0 s","136.5 s","1.6 s","2005","09 "
"170","108.2 e","155.7 ","2.1 ","116.5 s","167.9 s","-0.4 s","95.0 e","98.8 ","16.2 ","113.0 s","117.9 s","5.3 s","101.6 e","124.0 ","7.9 ","114.2 s","139.4 s","1.7 s","110.2 e","136.0 ","9.6 ","115.6 s","143.0 s","7.7 s","110.8 e","139.4 ","5.9 ","121.6 s","155.1 s","1.4 s","117.8 e","169.6 ","3.5 ","124.9 s","179.7 s","-0.8 s","98.3 e","104.1 ","11.9 ","118.5 s","125.5 s","6.4 s","73.8 ","6.2 ","88.2 s","-22.2 s","110.8 e","142.3 ","6.0 ","121.4 s","155.5 s","0.0 s","109.6 e","132.9 ","13.5 ","107.8 s","131.3 s","12.7 s","102.5 e","110.3 ","-10.1 ","103.2 s","112.1 s","9.5 s","110.4 e","135.9 ","16.8 ","108.5 s","134.3 s","13.6 s","2005","08 "
"171","126.0 e","181.3 ","6.3 ","117.4 s","168.6 s","-4.3 s","126.5 e","126.4 ","5.6 ","111.4 s","112.0 s","-13.3 s","126.2 e","150.7 ","6.0 ","114.5 s","137.1 s","-8.0 s","116.7 e","144.1 ","10.1 ","107.8 s","132.8 s","-10.7 s","132.3 e","166.6 ","7.8 ","122.1 s","152.9 s","-6.2 s","133.8 e","192.6 ","6.2 ","125.9 s","181.2 s","-7.0 s","129.7 e","133.5 ","5.8 ","114.2 s","118.0 s","-13.6 s","133.8 ","95.9 ","113.4 s","52.0 s","132.3 e","168.0 ","6.1 ","122.1 s","155.5 s","-9.0 s","101.7 e","123.3 ","13.2 ","96.5 s","116.5 s","-9.9 s","90.6 e","97.6 ","39.6 ","96.5 s","102.4 s","-8.4 s","103.0 e","126.7 ","10.9 ","96.4 s","118.2 s","-10.1 s","2005","07 "
"172","137.6 e","198.0 ","8.3 ","122.3 s","176.2 s","1.2 s","129.8 e","138.9 ","32.3 ","121.4 s","129.2 s","23.3 s","133.7 e","165.1 ","18.4 ","121.0 s","149.1 s","10.0 s","130.4 e","161.0 ","11.0 ","120.3 s","148.7 s","7.8 s","143.0 e","179.9 ","13.7 ","132.4 s","163.0 s","6.4 s","147.5 e","212.3 ","8.1 ","135.1 s","194.8 s","5.4 s","134.9 e","145.7 ","29.2 ","126.9 s","136.6 s","22.3 s","73.2 ","-10.8 ","74.6 s","1.6 s","143.0 e","184.6 ","14.2 ","132.3 s","170.9 s","11.2 s","118.3 e","143.4 ","8.1 ","106.3 s","129.3 s","2.4 s","107.1 e","115.3 ","15.8 ","103.6 s","111.8 s","1.5 s","119.6 e","147.2 ","7.3 ","106.4 s","131.5 s","2.3 s","2005","06 "
"173","117.1 e","168.5 ","8.0 ","120.8 s","174.1 s","2.4 s","88.5 e","92.4 ","8.8 ","99.6 s","104.8 s","-7.9 s","102.8 e","126.1 ","8.3 ","110.3 s","135.5 s","-2.3 s","109.2 e","134.8 ","10.9 ","111.7 s","137.9 s","0.9 s","114.2 e","143.7 ","8.9 ","119.7 s","153.2 s","-2.1 s","126.1 e","181.4 ","8.2 ","128.4 s","184.9 s","2.3 s","93.0 e","97.7 ","11.7 ","105.3 s","111.7 s","-8.0 s","77.2 ","0.1 ","73.4 s","-20.9 s","114.2 e","146.6 ","9.2 ","119.6 s","153.7 s","-1.1 s","104.4 e","126.5 ","12.9 ","104.1 s","126.3 s","2.9 s","97.5 e","105.0 ","-3.0 ","101.3 s","110.2 s","12.9 s","105.2 e","129.4 ","15.0 ","104.3 s","128.5 s","2.2 s","2005","05 "
"174","111.4 e","160.3 ","7.4 ","118.1 s","170.1 s","7.7 s","99.5 e","102.3 ","8.3 ","110.6 s","113.8 s","10.4 s","105.5 e","128.0 ","7.7 ","114.4 s","138.7 s","9.6 s","103.5 e","127.8 ","8.2 ","110.6 s","136.7 s","3.6 s","114.5 e","144.1 ","9.6 ","121.6 s","156.5 s","10.8 s","120.0 e","172.6 ","7.7 ","125.6 s","180.8 s","5.1 s","104.9 e","110.3 ","11.2 ","115.4 s","121.4 s","11.7 s","86.3 ","60.7 ","92.8 s","-6.3 s","114.5 e","146.7 ","8.7 ","121.4 s","155.4 s","7.0 s","92.9 e","112.7 ","6.6 ","101.3 s","122.8 s","4.5 s","77.6 e","83.5 ","8.9 ","90.9 s","97.6 s","-18.5 s","94.7 e","116.6 ","6.4 ","102.1 s","125.7 s","7.2 s","2005","04 "
"175","116.1 e","167.0 ","0.1 ","109.8 s","158.0 s","-6.0 s","103.9 e","107.4 ","26.1 ","99.4 s","103.1 s","-2.6 s","110.0 e","133.8 ","10.3 ","103.7 s","126.5 s","-5.2 s","107.8 e","133.1 ","12.6 ","106.8 s","131.9 s","-1.2 s","118.9 e","149.6 ","7.5 ","113.6 s","141.2 s","-4.1 s","125.2 e","180.2 ","-0.3 ","119.6 s","172.1 s","-3.2 s","107.7 e","112.0 ","25.0 ","104.5 s","108.7 s","-1.5 s","100.0 ","80.8 ","99.0 s","75.2 s","118.9 e","151.8 ","6.3 ","113.7 s","145.2 s","-2.8 s","97.1 e","117.8 ","19.2 ","97.0 s","117.5 s","-3.9 s","113.6 e","122.3 ","17.1 ","111.1 s","119.7 s","26.0 s","95.2 e","117.1 ","19.4 ","95.4 s","117.3 s","-6.9 s","2005","03 "
"176","112.2 e","161.4 ","7.9 ","116.8 s","168.1 s","-3.1 s","85.4 e","91.7 ","10.2 ","99.1 s","105.9 s","-16.1 s","98.8 e","122.6 ","8.9 ","107.9 s","133.4 s","-10.0 s","100.3 e","123.8 ","11.3 ","108.2 s","133.5 s","2.1 s","108.7 e","136.8 ","6.7 ","115.5 s","147.2 s","-7.9 s","119.4 e","171.8 ","7.0 ","123.6 s","177.8 s","-1.7 s","89.7 e","96.9 ","10.5 ","102.0 s","110.4 s","-13.8 s","48.6 ","-41.4 ","56.5 s","-48.7 s","108.7 e","140.6 ","8.0 ","115.6 s","149.4 s","-4.9 s","92.2 e","111.7 ","17.1 ","100.9 s","122.3 s","9.5 s","80.7 e","86.9 ","37.9 ","88.6 s","95.0 s","-16.3 s","93.5 e","115.1 ","15.4 ","102.3 s","126.0 s","13.2 s","2005","02 "
"177","113.4 e","163.1 ","8.2 ","120.6 s","173.4 s","8.9 s","98.3 e","101.2 ","33.7 ","123.2 s","126.2 s","14.9 s","105.8 e","128.6 ","18.0 ","122.6 s","148.2 s","12.2 s","97.4 e","120.2 ","2.3 ","106.1 s","130.8 s","0.8 s","114.5 e","144.0 ","14.1 ","122.6 s","159.9 s","12.3 s","121.0 e","174.1 ","6.8 ","125.7 s","180.8 s","5.9 s","102.9 e","108.3 ","31.6 ","121.9 s","128.1 s","6.0 s","83.3 ","57.5 ","110.1 s","26.8 s","114.5 e","146.7 ","13.4 ","122.8 s","157.1 s","3.3 s","81.0 e","98.2 ","-10.3 ","92.5 s","111.7 s","-2.3 s","97.6 e","105.1 ","30.1 ","106.1 s","113.5 s","-5.1 s","79.0 e","97.2 ","-14.3 ","90.8 s","111.3 s","-2.0 s","2005","01 "
"178","112.3 e","161.6 ","5.5 ","110.7 s","159.2 s","-2.3 s","128.4 e","133.2 ","41.4 ","105.9 s","109.8 s","3.4 s","120.4 e","145.8 ","21.1 ","108.6 s","132.1 s","-0.5 s","107.2 e","132.4 ","10.2 ","105.1 s","129.8 s","2.2 s","124.6 e","156.8 ","17.1 ","118.9 s","142.4 s","-3.7 s","118.8 e","171.0 ","4.8 ","118.8 s","170.7 s","0.6 s","134.8 e","142.6 ","41.0 ","114.5 s","120.9 s","4.0 s","101.9 ","84.6 ","86.8 s","-20.9 s","124.6 e","159.2 ","16.0 ","118.9 s","152.1 s","3.0 s","90.5 e","109.7 ","2.2 ","94.3 s","114.3 s","6.8 s","116.3 e","125.2 ","32.3 ","111.0 s","119.6 s","15.0 s","87.5 e","107.6 ","-1.3 ","92.4 s","113.6 s","5.3 s","2004","12 "
"179","104.6 e","150.5 ","8.0 ","113.3 s","162.9 s","-1.2 s","107.3 e","106.8 ","31.7 ","106.4 s","106.2 s","-3.1 s","105.9 e","126.2 ","18.1 ","111.1 s","132.8 s","-1.1 s","98.2 e","121.3 ","2.7 ","102.9 s","127.0 s","1.7 s","110.6 e","139.2 ","16.0 ","116.0 s","147.9 s","-2.4 s","109.9 e","158.2 ","6.8 ","117.9 s","169.6 s","-3.7 s","111.9 e","116.7 ","30.5 ","111.7 s","116.2 s","0.5 s","99.8 ","179.6 ","109.8 s","-2.0 s","110.6 e","140.9 ","13.9 ","116.0 s","147.7 s","-2.8 s","86.3 e","104.6 ","-10.1 ","88.1 s","107.0 s","3.4 s","105.6 e","113.7 ","-17.3 ","95.5 s","104.0 s","33.3 s","84.0 e","103.4 ","-8.9 ","87.6 s","107.9 s","0.7 s","2004","11 "
"180","113.7 e","163.5 ","0.6 ","114.8 s","164.9 s","3.1 s","128.9 e","130.3 ","37.3 ","108.4 s","109.6 s","2.0 s","121.3 e","145.0 ","16.1 ","112.0 s","134.3 s","3.1 s","109.8 e","135.5 ","3.7 ","101.2 s","124.9 s","-3.6 s","125.9 e","158.5 ","12.1 ","119.8 s","151.6 s","5.4 s","121.0 e","174.1 ","0.1 ","122.4 s","176.2 s","1.8 s","134.7 e","137.7 ","33.6 ","112.9 s","115.6 s","-0.8 s","148.4 ","110.2 ","112.0 s","56.9 s","125.9 e","158.9 ","10.0 ","120.0 s","152.0 s","1.2 s","94.2 e","114.2 ","-5.5 ","85.6 s","103.5 s","-7.4 s","78.2 e","84.2 ","-19.7 ","72.9 s","78.0 s","-29.4 s","96.1 e","118.3 ","-3.7 ","87.2 s","107.1 s","-4.3 s","2004","10 "
"181","120.4 e","173.3 ","4.0 ","111.3 s","159.9 s","-5.9 s","108.8 e","114.9 ","30.6 ","102.5 s","107.4 s","2.4 s","114.6 e","140.8 ","14.6 ","106.6 s","130.2 s","-2.7 s","110.7 e","136.6 ","3.3 ","105.0 s","129.6 s","-0.9 s","123.7 e","155.6 ","11.3 ","116.9 s","143.9 s","-4.8 s","128.4 e","184.8 ","4.2 ","120.2 s","173.0 s","-2.8 s","115.3 e","123.8 ","29.9 ","109.4 s","116.5 s","1.5 s","69.7 ","11.2 ","71.4 s","-13.9 s","123.7 e","159.4 ","11.3 ","116.9 s","150.2 s","-0.1 s","98.1 e","119.0 ","-5.0 ","92.2 s","111.8 s","-3.0 s","116.0 e","124.9 ","7.3 ","102.3 s","110.5 s","-11.3 s","96.0 e","118.2 ","-6.6 ","91.0 s","111.9 s","-2.2 s","2004","09 "
"182","106.0 e","152.5 ","20.6 ","117.9 s","169.9 s","10.5 s","83.4 e","85.0 ","37.1 ","102.5 s","104.9 s","2.6 s","94.7 e","114.9 ","27.0 ","110.3 s","133.8 s","7.1 s","100.5 e","124.1 ","11.5 ","105.7 s","130.8 s","9.0 s","104.6 e","131.6 ","25.3 ","117.3 s","151.2 s","10.0 s","113.8 e","163.8 ","20.2 ","123.6 s","177.9 s","7.2 s","88.1 e","93.0 ","39.4 ","108.7 s","114.8 s","6.2 s","69.5 ","33.4 ","82.9 s","41.7 s","104.6 e","134.3 ","25.0 ","117.2 s","150.3 s","5.3 s","96.6 e","117.1 ","-0.1 ","94.6 s","115.2 s","12.2 s","113.9 e","122.7 ","40.7 ","114.8 s","124.6 s","68.2 s","94.6 e","116.4 ","-4.0 ","92.4 s","114.4 s","7.9 s","2004","08 "
"183","118.5 e","170.5 ","-1.8 ","107.0 s","153.7 s","-5.5 s","112.6 e","119.7 ","27.9 ","95.8 s","102.2 s","4.1 s","115.6 e","142.2 ","10.1 ","101.3 s","124.9 s","-1.0 s","106.0 e","130.9 ","1.1 ","97.3 s","120.0 s","-9.6 s","122.8 e","154.6 ","5.7 ","110.4 s","137.5 s","-4.0 s","126.0 e","181.3 ","-2.7 ","115.4 s","166.0 s","-7.2 s","117.2 e","126.2 ","27.9 ","100.2 s","108.1 s","1.7 s","68.3 ","5.1 ","58.5 s","-30.8 s","122.8 e","158.4 ","5.7 ","110.4 s","142.8 s","-3.6 s","89.8 e","108.9 ","-4.5 ","85.1 s","102.7 s","-13.1 s","64.9 e","69.9 ","-11.3 ","69.9 s","74.1 s","-22.7 s","92.8 e","114.2 ","-3.9 ","86.5 s","106.0 s","-12.5 s","2004","07 "
